Date,Time,Duration (mins),Intensity Scale
18-Sep-14,6:05 PM,15,7.5
18-Sep-14,7:09 PM,23,7.5
18-Sep-14,9:39 PM,28,5
18-Sep-14,10:48 PM,25,7.5
19-Sep-14,1:38 AM,20,7.5
19-Sep-14,7:57 AM,4,5
19-Sep-14,9:46 AM,4,2.5
19-Sep-14,10:29 AM,13,2.5
19-Sep-14,11:46 AM,8,5
19-Sep-14,1:35 PM,7,5
19-Sep-14,2:27 PM,8,2.5
19-Sep-14,5:11 PM,30,7.5
19-Sep-14,10:00 PM,60,10
20-Sep-14,9:50 AM,11,5
20-Sep-14,10:34 AM,10,5
20-Sep-14,12:05 PM,15,7.5
20-Sep-14,4:10 PM,21,7.5
20-Sep-14,6:45 PM,18,5
20-Sep-14,8:57 PM,19,7.5
20-Sep-14,10:45 PM,35,10
