name,code,population,area_sq_km,population_density,literacy_rate_perc,urban_population_perc
Andhra Pradesh,AP,49386799,160205,308,67.41,29.6
Arunachal Pradesh,AR,1382611,83743,17,66.95,20.8
Assam,AS,31169272,78550,397,73.18,12.9
Bihar,BR,103804637,99200,1102,63.82,10.5
Chhattisgarh,CT,25540196,135194,189,71.04,20.1
Goa,GA,1457723,3702,394,87.4,62.2
Gujarat,GJ,60383628,196024,308,79.31,37.4
Haryana,HR,25353081,44212,573,76.64,28.9
Himachal Pradesh,HP,6856509,55673,123,83.78,9.8
Jammu and Kashmir,JK,12548926,222236,124,68.74,24.8
Jharkhand,JH,32966238,74677,414,67.63,22.2
Karnataka,KA,61130704,191791,319,75.6,34
Kerala,KL,33387677,38863,859,93.91,26
Madhya Pradesh,MP,72597565,308252,236,70.63,26.5
Maharashtra,MH,112372972,307713,365,82.91,42.4
Manipur,MN,2721756,22347,122,79.85,25.1
Meghalaya,ML,2964007,22720,132,75.48,19.6
Mizoram,MZ,1091014,21081,52,91.58,49.6
Nagaland,NL,1980602,16579,119,80.11,17.2
Odisha,OR,41947358,155820,269,73.45,15
Punjab,PB,27704236,50362,550,76.68,33.9
Rajasthan,RJ,68621012,342269,201,67.06,23.4
Sikkim,SK,607688,7096,86,82.2,11.1
Tamil Nadu,TN,72138958,130058,480,80.33,44
Tripura,TR,3671032,10492,350,87.75,17.1
Uttar Pradesh,UP,199581477,243286,828,69.72,20.8
Uttarakhand,UT,10116752,53566,189,79.63,25.7
West Bengal,WB,91347736,88752,1029,77.08,28
